"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"427596","491476",".00","5000.00",".00",".00","5000.00","5000.00",".00",".00",".00",".00","5000.00",".00",".00",".00","5000.00","5000.00","5000.00",".00",".00",".00","5000.00","","{753B2730-4D7A-331B-521B-92F3DA7B64DA}"
"427599","491479","7891.95",".00",".00",".00",".00","7891.95","1783.00",".00",".00","1783.00","6108.95","1320.00","7891.95",".00",".00",".00","7891.95",".00","1783.00","1783.00","6108.95","","{29BADB3E-3B87-5DC6-1F24-95D28E12620F}"
"427602","491482","10305.84",".00",".00",".00",".00","10305.84",".00",".00",".00",".00","10305.84","2949.76","10305.84",".00",".00",".00","10305.84",".00",".00",".00","10305.84","","{BFD3CCF2-BA0D-62C0-3457-1B1173384603}"
"427603","491483","256.36",".00",".00",".00",".00","256.36",".00",".00",".00",".00","256.36",".00","256.36",".00",".00",".00","256.36",".00",".00",".00","256.36","","{B20028AC-C1D8-6068-75CC-1C0E22E6FDEE}"
"427606","491486","2237.52",".00",".00",".00",".00","2237.52","270.78",".00",".00","270.78","1966.74",".00",".00","3000.00",".00","3000.00","3000.00","762.48","270.78","1033.26","1966.74","","{11C7C169-3659-3C02-3A56-199F8A0E2861}"
"427608","491489",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00",".00","","{9A0BD938-D45A-DBCA-E05A-A6A4F1792B37}"
"427609","491490","1121.46","260.00",".00",".00","260.00","1381.46","961.77",".00",".00","961.77","419.69",".00",".00","3700.00","260.00","3960.00","3960.00","2578.54","961.77","3540.31","419.69","","{157DE6C6-0F60-1120-24E5-A44D48F71026}"
"427610","491491","609.00",".00",".00",".00",".00","609.00",".00",".00",".00",".00","609.00","609.00","609.00",".00",".00",".00","609.00",".00",".00",".00","609.00","","{0AF91913-F654-5CF1-F477-BA60687A0310}"
"427612","491494","1201.43",".00",".00",".00",".00","1201.43",".00",".00",".00",".00","1201.43","2000.00","267.53","3486.99",".00","3486.99","3754.52","2553.09",".00","2553.09","1201.43","","{A0CA821D-CFAA-B0D6-7E4B-8CBEC42D963F}"
"427613","491495","6565.19",".00",".00",".00",".00","6565.19",".00",".00",".00",".00","6565.19","6832.49","12622.91","5244.78",".00","5244.78","17867.69","11302.50",".00","11302.50","6565.19","","{463BC020-EB90-8E6C-0ECF-74CE365422E5}"
"427614","491496","5.59",".00",".00",".00",".00","5.59",".00",".00",".00",".00","5.59","6893.14","5.59",".00",".00",".00","5.59",".00",".00",".00","5.59","","{4A60BA42-0725-F1AE-B1B7-535808047E46}"
"427615","491497","5.05",".00",".00",".00",".00","5.05",".00",".00",".00",".00","5.05","6427.76","5.05",".00",".00",".00","5.05",".00",".00",".00","5.05","","{768DA8DD-4259-3531-3E32-936CBE03D383}"
"427617","491499","489.28",".00",".00",".00",".00","489.28",".00",".00",".00",".00","489.28",".00","489.28",".00",".00",".00","489.28",".00",".00",".00","489.28","","{B4A7F1F1-250D-C0F2-FC43-CE75CEA44C2D}"
"427619","491501","186.16","134.74",".00",".00","134.74","320.90",".00","320.90",".00","320.90",".00",".00","301.26",".00","134.74","134.74","436.00","115.10","320.90","436.00",".00","","{084068B0-B679-E6A0-0019-0FD7C0042C63}"
"427623","491505","5854.04","3037.39",".00",".00","3037.39","8891.43","1421.17",".00",".00","1421.17","7470.26",".00","4549.34","1690.00","3037.39","4727.39","9276.73","385.30","1421.17","1806.47","7470.26","","{0EC0A186-0B82-D86A-D866-E65ECE69452F}"
"427624","491506","20.44","475.00",".00",".00","475.00","495.44","156.21",".00",".00","156.21","339.23",".00",".00","30.00","475.00","505.00","505.00","9.56","156.21","165.77","339.23","","{77E4DD59-7191-DCF9-A2A1-FB2AD510B812}"
"427630","491512","291.20",".00",".00",".00",".00","291.20",".00",".00",".00",".00","291.20",".00","291.20",".00",".00",".00","291.20",".00",".00",".00","291.20","","{15DE04F5-D3E7-D3DB-1A72-8FDF30587A4D}"
"427633","491519","68678.96","2284.00",".00",".00","2284.00","70962.96","8150.05",".00",".00","8150.05","62812.91",".00","73923.77","3019.00","2284.00","5303.00","79226.77","8263.81","8150.05","16413.86","62812.91","","{0FD6F902-5C1B-57A8-20AF-C94F315FDD2E}"
"427634","491520","965.02",".00",".00",".00",".00","965.02",".00",".00",".00",".00","965.02","6113.20","965.02",".00",".00",".00","965.02",".00",".00",".00","965.02","","{161C461B-386C-BE36-7FE1-0BC5F8F07D5C}"
"427636","491522","2400.70",".00",".00",".00",".00","2400.70",".00",".00",".00",".00","2400.70",".00","2400.70",".00",".00",".00","2400.70",".00",".00",".00","2400.70","","{EBC7DD34-23CF-3B29-9487-1CEB204CDEBA}"
